Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"Great location where you could easily access to city centre and riverside. A classic hotel with onsite parking (£17 per day) was good. Room size for 4 occupants was not bad, clean and tidy. Unfortunately, only free wifi was available in public areas.",https://media-cdn.tripadvisor.com/media/photo-t/03/b8/df/4f/garyl471.jpg,https://www.tripadvisor.co.uk/Profile/GaryL0505,GaryL0505 wrote a review Apr 2023,GaryL0505,"England, United Kingdom",436 contributions,99 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r886165914-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great location - 4 stars hotel,Date of stay: April 2023,,,,
"On arrival we realised that the room didn’t have everything listed in the online description. There were no bedside sockets, no seating area and no alarm clock. There was also only one bedside table for 4 occupants. It was like half the furniture in the room had been removed. Whilst bathing our children we also discovered that the shampoo dispenser had not been refilled and was completely empty.  The next morning, I requested that these be resolved, partly expecting to be offered a different room but instead I was told that the furniture would be sorted out, we would be given an extension cable for the sockets, an alarm clock would be provided and the shampoo would be refilled.  When we arrived that evening, the ‘seating area’ turned out to be a single dining chair, no extension",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f1/42/default-avatar-2020-20.jpg,https://www.tripadvisor.co.uk/Profile/549ciar_nj,Ciarán J wrote a review Apr 2023,Ciarán J,,3 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r886113818-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Beautiful hotel, shoddy experience",Date of stay: April 2023,,,,
"We stay here a lot and the hotel is usually always clean and tidy, occasionally the cleaning seems to just get forgotten but the bedding, towels and service are usually always top notch, the staff really are super helpful, the M&C restaurant really is fab too, especially their wonderful Portuguese waiter, Victor Martins! We absolutely love Portugal and  we're due to return for a short break and he really went out of his way to tell us about great places to visit, impart lots of his wine and food  knowledge, and really took his time explaining things, he also went through the menu with us and recommended some really great food and it was all delivered with a super attitude- this guy really is an asset to this restaurant and really made our experience from something of a late",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/a3/default-avatar-2020-38.jpg,https://www.tripadvisor.co.uk/Profile/Besketti,Besketti wrote a review Apr 2023,Besketti,"Newquay, United Kingdom",29 contributions,5 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r885882177-Bristol_Marriott_Royal_Hotel-Bristol_England.html,M&C waiter Victor Martin really is an excellent employee!!,Date of stay: October 2022,,,,
"Fantastic  I would recommend this hotel to anyone. From reception through the room, we had a stay that will stay in our memories. I messed up our booking, but skim on reception sorted it out, smiling all the time. All the staff were welcoming, it made for a great atmosphere ",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/91/default-avatar-2020-62.jpg,https://www.tripadvisor.co.uk/Profile/mikehH1503PA,Mike H wrote a review Apr 2023,Mike H,"Plymouth, United Kingdom",1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r885053012-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Excellent ,Date of stay: March 2023,,,,
"Very aggravating trying to get Reception to answer the phone as we had some questions ahead of our stay. On the sixth occasion, thankfully, someone did.  Slept well in comfortable bed and bedding.  But, generally, showing signs of tiredness and rather expensive in context",,https://www.tripadvisor.co.uk/Profile/DavidG897,DavidG897 wrote a review Apr 2023,DavidG897,"London, United Kingdom",2886 contributions,933 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r884514939-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Comfortable sleeping but generally old and tired,Date of stay: April 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 4 weeks ago",Responded 4 weeks ago,"DavidG  On behalf of the entire hotel team, we want to thank you for sharing your experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  We apologize for the disappointing aspects of your stay, and we are looking into this with the relevant departments to make improvements.   The hotel has been upgraded recently in the style that complements our Victorian heritage we do appreciate everyone has different tastes when it comes décor as you can see from previous reviews this has gone down well with the majority of guests who stay with us.  We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon.",
"Worth the money. The whole experience was top notch. From checking in to the gym, the restaurant and breakfast. Ok you have to pay to park but it’s not expensive and is convenient. They say 24hours but it ran up to midnight after we checked out so gave us the day to shop.",,https://www.tripadvisor.co.uk/Profile/patmE6647GA,Pat M wrote a review Mar 2023,Pat M,"Plymouth, United Kingdom",3 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r883811420-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Will go again,Date of stay: March 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 4 weeks ago",Responded 4 weeks ago,"Will go again!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read the whole experience was top notch.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"A really nice Hotel with excellent staff overall. The bar staff are really good and knowledgeable with cocktails and drinks and nothing was too much trouble.  We didn't eat in the restaurant apart from breakfast and as a group of eight wanted to sit as a group in the morning and despite requesting this the day we got a lot of frowning, reluctance and ""huffiness"" from one particular staff member, so we just moved table together ourselves and had a nice breakfast!",,https://www.tripadvisor.co.uk/Profile/Alanivanhoe,Alan S wrote a review Mar 2023,Alan S,"Colchester, United Kingdom",11 contributions,14 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r883788716-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great Hotel and location,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 4 weeks ago",Responded 4 weeks ago,"Location Location!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you found the staff excellent.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
Great location.  Staff were fabulous. My husband wanted to change the room and they were very accommodating.  Car parking was easy and again staff were very helpful. Breakfast was a treat and the staff in the dining room were very attentive. I will definitely book again and recommend. All the comfort in old fashioned British style. ,,https://www.tripadvisor.co.uk/Profile/janetwP4000YA,Janet W wrote a review Mar 2023,Janet W,,1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r883254054-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Couldn’t Have been Better,Date of stay: March 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 4 weeks ago",Responded 4 weeks ago,"Couldn't have been better!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read the Staff were fabulous.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Friendly welcoming to the hotel, clean tidy reception area, miller and carter on site with nice bar area.  Room clean and tidy. Comfortable bed. Great access to the city centre all within walking distance allowing the car to be left in the car park below the hotel, however limited security within the car park, sadly our car was ransacked during our stay :( only to be discovered upon leaving the hotel, unfortunately we were not the only ones at the desk at this time reporting this. Upon reporting this to reception they were apologetic and I was informed this wasn’t the first time recently therefore I would suggest if you are parking here to remove anything and everything from your vehicles!! - the car was locked when we left it luckily for us nothing of value was actually inside.",,https://www.tripadvisor.co.uk/Profile/13jessj,Jess J wrote a review Mar 2023,Jess J,,1 contribution,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r882855558-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Lovely welcoming hotel, shame about the car park ",Date of stay: March 2023,,,,
"Had an omelette for breakfast cooked by Nawas. A lovely omelette, excellent customer service from  Nawas. Would highly recommend, a good selection choice for breakfast. All the staff were lovely and the restaurant was clean and tidy ",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/a9/default-avatar-2020-50.jpg,https://www.tripadvisor.co.uk/Profile/605elainer,Elaine R wrote a review Mar 2023,Elaine R,,6 contributions,3 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r882592726-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Breakfast ,Date of stay: March 2023,,,,
